metric,value
rhae_environment_score,0.0
win_levels,6
levels_completed,0
actions_total,275
exploration_actions,273
plan_actions,0
model_calls,7
tokens_total,601357
hypotheses_proposed,7
hypotheses_certified,7
plans_executed,0
prediction_mismatches,6
simulation_steps_used,553201
level_1_official_baseline_actions,55
level_1_budget,275
level_1_actions_attributed,275
level_1_completed,0
level_1_rhae_level_score,0.0
level_2_official_baseline_actions,8
level_2_budget,40
level_2_actions_attributed,0
level_2_completed,0
level_2_rhae_level_score,0.0
level_3_official_baseline_actions,41
level_3_budget,205
level_3_actions_attributed,0
level_3_completed,0
level_3_rhae_level_score,0.0
level_4_official_baseline_actions,21
level_4_budget,105
level_4_actions_attributed,0
level_4_completed,0
level_4_rhae_level_score,0.0
level_5_official_baseline_actions,23
level_5_budget,115
level_5_actions_attributed,0
level_5_completed,0
level_5_rhae_level_score,0.0
level_6_official_baseline_actions,23
level_6_budget,115
level_6_actions_attributed,0
level_6_completed,0
level_6_rhae_level_score,0.0
