metric,value
rhae_environment_score,1.020304050607081
win_levels,8
levels_completed,1
actions_total,478
exploration_actions,460
plan_actions,16
model_calls,10
tokens_total,252184
hypotheses_proposed,10
hypotheses_certified,9
plans_executed,3
prediction_mismatches,8
simulation_steps_used,5000000
level_1_official_baseline_actions,20
level_1_budget,100
level_1_actions_attributed,33
level_1_completed,1
level_1_rhae_level_score,36.73094582185492
level_2_official_baseline_actions,89
level_2_budget,445
level_2_actions_attributed,445
level_2_completed,0
level_2_rhae_level_score,0.0
level_3_official_baseline_actions,106
level_3_budget,530
level_3_actions_attributed,0
level_3_completed,0
level_3_rhae_level_score,0.0
level_4_official_baseline_actions,54
level_4_budget,270
level_4_actions_attributed,0
level_4_completed,0
level_4_rhae_level_score,0.0
level_5_official_baseline_actions,162
level_5_budget,810
level_5_actions_attributed,0
level_5_completed,0
level_5_rhae_level_score,0.0
level_6_official_baseline_actions,38
level_6_budget,190
level_6_actions_attributed,0
level_6_completed,0
level_6_rhae_level_score,0.0
level_7_official_baseline_actions,86
level_7_budget,430
level_7_actions_attributed,0
level_7_completed,0
level_7_rhae_level_score,0.0
level_8_official_baseline_actions,83
level_8_budget,415
level_8_actions_attributed,0
level_8_completed,0
level_8_rhae_level_score,0.0
