metric,value
rhae_environment_score,0.0
win_levels,9
levels_completed,0
actions_total,37
exploration_actions,32
plan_actions,5
model_calls,7
tokens_total,164826
hypotheses_proposed,7
hypotheses_certified,6
plans_executed,1
prediction_mismatches,5
simulation_steps_used,2772595
level_1_official_baseline_actions,71
level_1_budget,355
level_1_actions_attributed,37
level_1_completed,0
level_1_rhae_level_score,0.0
level_2_official_baseline_actions,119
level_2_budget,595
level_2_actions_attributed,0
level_2_completed,0
level_2_rhae_level_score,0.0
level_3_official_baseline_actions,183
level_3_budget,915
level_3_actions_attributed,0
level_3_completed,0
level_3_rhae_level_score,0.0
level_4_official_baseline_actions,98
level_4_budget,490
level_4_actions_attributed,0
level_4_completed,0
level_4_rhae_level_score,0.0
level_5_official_baseline_actions,368
level_5_budget,1840
level_5_actions_attributed,0
level_5_completed,0
level_5_rhae_level_score,0.0
level_6_official_baseline_actions,68
level_6_budget,340
level_6_actions_attributed,0
level_6_completed,0
level_6_rhae_level_score,0.0
level_7_official_baseline_actions,79
level_7_budget,395
level_7_actions_attributed,0
level_7_completed,0
level_7_rhae_level_score,0.0
level_8_official_baseline_actions,442
level_8_budget,2210
level_8_actions_attributed,0
level_8_completed,0
level_8_rhae_level_score,0.0
level_9_official_baseline_actions,415
level_9_budget,2075
level_9_actions_attributed,0
level_9_completed,0
level_9_rhae_level_score,0.0
