metric,value
games,25
replay_identity_games,25
history_length_total,3306
history_length_min,30
wrong_model_trials,250
vacuous_trials,0
non_vacuous_trials,250
rejected_trials,250
rejection_fraction,1.0
control_trials,25
control_accepted,25
correct_model_acceptance_fraction,1.0
history_length_checked_equal_length_all,0
identity_model_trials,35
identity_model_vacuous_trials,0
identity_model_rejected_trials,35
stale_frame_trials,30
stale_frame_vacuous_trials,0
stale_frame_rejected_trials,30
single_cell_flip_trials,31
single_cell_flip_vacuous_trials,0
single_cell_flip_rejected_trials,31
colour_permutation_trials,33
colour_permutation_vacuous_trials,0
colour_permutation_rejected_trials,33
action_semantics_swap_trials,31
action_semantics_swap_vacuous_trials,0
action_semantics_swap_rejected_trials,31
levels_completed_off_by_one_trials,30
levels_completed_off_by_one_vacuous_trials,0
levels_completed_off_by_one_rejected_trials,30
state_field_wrong_trials,29
state_field_wrong_vacuous_trials,0
state_field_wrong_rejected_trials,29
other_game_simulator_trials,31
other_game_simulator_vacuous_trials,0
other_game_simulator_rejected_trials,31
